Do you think that working from home increases your work productivity?,Do you think that working from home saves you more time?,"Which work type has the potential to cause you physical problems, such as the neck, back, and leg pain?","Which work type has the potential to cause mental disorders, such as stress, anxiety, and depression?",Do you think that working from home prevents you from getting in contact with people?,Which work type keeps you focused while working?,Which work type do you prefer the most?
0,0,1,1,0,1,3
1,0,1,1,1,1,1
1,0,1,2,1,2,2
1,0,2,1,1,2,1
0,1,2,2,0,1,2
1,1,1,1,1,1,1
0,0,1,2,0,2,3
1,0,2,2,0,2,1
1,1,1,1,1,1,3
0,0,2,2,0,2,2
1,1,1,1,1,1,1
0,0,1,2,0,2,3
1,1,1,1,1,2,2
1,0,1,1,1,1,3
1,1,1,1,1,2,3
1,0,1,1,1,1,2
0,0,1,1,1,2,3
1,1,1,1,1,1,1
1,0,1,1,1,2,2
1,1,1,1,1,2,3
0,0,1,2,0,1,2
1,1,1,1,1,2,3
1,0,1,1,1,1,3
1,1,2,2,0,2,2
0,0,2,2,0,1,3
1,0,1,1,1,1,1
0,0,1,2,0,2,3
1,1,1,1,1,2,2
1,0,1,1,1,1,3
0,0,1,2,0,2,3
1,1,1,1,1,1,2
0,0,2,2,0,2,3
1,1,1,1,1,2,2
1,0,1,1,1,1,1
1,1,1,1,1,2,3
1,0,1,1,1,2,3
1,0,1,1,1,2,2
1,1,1,1,1,1,3
0,0,1,2,0,2,3
1,1,1,1,1,2,1
1,0,1,1,1,1,3
0,1,1,2,0,1,3
1,0,1,1,1,2,2
1,1,1,1,1,2,3
0,0,2,2,0,2,3
1,0,1,1,1,1,2
0,1,1,1,1,2,3
1,0,1,1,1,2,1
1,1,1,1,1,1,3
0,0,1,2,0,2,3
1,1,1,1,1,1,2
0,1,2,2,0,2,3
1,0,1,1,1,2,3
0,0,2,2,0,1,1
1,1,1,1,1,2,3
1,0,1,1,1,2,2
1,1,1,1,1,2,3
1,1,2,2,0,1,3
1,0,1,1,1,2,3
1,0,1,1,1,2,2
0,0,1,1,1,1,3
1,1,1,1,1,1,1
1,0,1,1,1,2,3
1,0,1,1,1,1,2
0,1,2,2,0,1,3
1,0,1,1,1,1,1
0,1,1,2,0,2,2
0,0,2,2,0,2,3
1,1,1,1,1,1,1
0,0,2,2,0,2,2
1,0,1,1,1,1,1
0,1,2,2,0,2,3
1,0,1,1,1,2,2
1,0,1,1,1,2,3
1,1,1,1,1,2,1
1,0,1,1,1,2,2
1,0,1,1,1,2,3
1,1,2,2,0,1,1
1,0,1,1,1,2,2
1,1,1,1,1,2,2
1,0,1,1,1,1,3
0,1,1,1,1,1,3
1,1,1,1,1,2,2
1,0,1,1,1,2,3
0,0,2,2,0,2,3
1,1,1,1,1,1,1
0,0,1,2,0,2,2
1,0,2,1,1,2,2
1,1,1,1,1,1,3
0,0,1,2,0,2,3
1,1,1,1,1,1,1
0,0,2,2,0,1,3
1,0,1,1,1,2,2
1,0,1,1,1,1,3
1,1,2,2,0,2,1
1,0,1,1,1,2,2
1,0,1,1,1,2,3
1,0,1,1,1,1,2
1,1,1,1,1,2,3
0,0,1,1,1,2,3
